med_type_old,drug_std,med_type,broad_cat,drug_class,label,who_status
miscellaneous other,dextrose,miscellaneous other,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
miscellaneous other,dextrose 5 serum,miscellaneous other,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
,dextrose 5 serum,miscellaneous other,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
,diltiazem,,Metabolic / cardiometabolic agents,Metabolic / cardiometabolic agents,Metabolic agents (Other),not_addressed_trial_only
miscellaneous other,dimethyl sulfoxide,miscellaneous other,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
,dimethyl sulfoxide,miscellaneous other,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
nonspecific anti-inflammatory and immunosuppressive drugs,diosmin,nonspecific anti-inflammatory and immunosuppressive drugs,Adjuvant / Supportive,Vitamins & supplements,Vitamins & Supplements,not_addressed_trial_only
,diphenhydramine,miscellaneous other,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
miscellaneous other,diphenhydramine,miscellaneous other,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
miscellaneous other,dipyridamole,miscellaneous other,Anticoagulants,Non‑heparin anticoagulants / thrombolytics,Anticoagulants (Non-heparin),not_addressed_trial_only
miscellaneous other,dipyrone,miscellaneous other,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
miscellaneous other,disulfiram,miscellaneous other,Antivirals (Broad spectrum / Other),Broad‑spectrum & host‑directed antivirals,Antivirals (Broad-spectrum/Other),not_addressed_trial_only
miscellaneous other,dnase,miscellaneous other,Adjuvant / Supportive,Respiratory & hemodynamic support,Respiratory/Hemodynamic Support,not_addressed_trial_only
miscellaneous other,dornase alfa,miscellaneous other,Adjuvant / Supportive,Respiratory & hemodynamic support,Respiratory/Hemodynamic Support,not_addressed_trial_only
,dornase alfa,miscellaneous other,Adjuvant / Supportive,Respiratory & hemodynamic support,Respiratory/Hemodynamic Support,not_addressed_trial_only
,doxycycline,antibiotics and antiparasitics,Antiparasitics/Antibiotics,Macrolides / repurposed anti‑infectives,Antiparasitics/Antibiotics,not_addressed_trial_only
antibiotics and antiparasitics,doxycycline,antibiotics and antiparasitics,Antiparasitics/Antibiotics,Macrolides / repurposed anti‑infectives,Antiparasitics/Antibiotics,not_addressed_trial_only
miscellaneous other,dutasteride,miscellaneous other,Antivirals (Broad spectrum / Other),Broad‑spectrum & host‑directed antivirals,Antivirals (Broad-spectrum/Other),not_addressed_trial_only
kinase inhibitors,duvelisib,kinase inhibitors,Immunotherapies (kinase inhibitor),Other TK / multi‑kinase inhibitors,Immunotherapy (Other kinases),not_addressed_trial_only
miscellaneous other,dxp,miscellaneous other,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
miscellaneous other,eb05,miscellaneous other,Immunotherapies (antibody based),Anti‑spike monoclonal antibodies,Immunotherapy (Anti-spike mAbs),not_addressed_trial_only
miscellaneous other,ebselen glutathione peroxidase mimetic,miscellaneous other,Adjuvant / Supportive,Vitamins & supplements,Vitamins & Supplements,not_addressed_trial_only
monoclonal antibodies,eculizumab,monoclonal antibodies,Immunotherapies (other immunomodulators),Biologic cytokine / receptor blockers,Immunotherapy (Other biologics),not_addressed_trial_only
miscellaneous other,edaravone,miscellaneous other,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
miscellaneous other,edoxaban,miscellaneous other,Anticoagulants,Non‑heparin anticoagulants / thrombolytics,Anticoagulants (Non-heparin),not_addressed_trial_only
,edoxaban,miscellaneous other,Anticoagulants,Non‑heparin anticoagulants / thrombolytics,Anticoagulants (Non-heparin),not_addressed_trial_only
nonspecific anti-inflammatory and immunosuppressive drugs,edp1815,nonspecific anti-inflammatory and immunosuppressive drugs,Immunotherapies (other immunomodulators),Innate immune modulators and others,Immunotherapy (Innate/Other),not_addressed_trial_only
,eftilagimod alpha,,Immunotherapies (other immunomodulators),Innate immune modulators and others,Immunotherapy (Innate/Other),not_addressed_trial_only
others,eicosapentaenoic acid free fatty acid,others,Metabolic / cardiometabolic agents,Statins,Metabolic agents (Statins),not_addressed_trial_only
miscellaneous other,eltrombopag,miscellaneous other,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
others,eltrombopag,miscellaneous other,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
antiviral antiretrovirals,emtricitabine,antiviral antiretrovirals,Antivirals (Antiretrovirals),HIV antiretrovirals,Antivirals (Antiretrovirals),not_addressed_trial_only
,emtricitabine,antiviral antiretrovirals,Antivirals (Antiretrovirals),HIV antiretrovirals,Antivirals (Antiretrovirals),not_addressed_trial_only
miscellaneous other,enalapril,miscellaneous other,Metabolic / cardiometabolic agents,Metabolic / cardiometabolic agents,Metabolic agents (Other),not_addressed_trial_only
,enoxaparin,,Anticoagulants,Heparin anticoagulants,Anticoagulants (Heparins),recommended
,enoxaparin sodium,miscellaneous other,Anticoagulants,Heparin anticoagulants,Anticoagulants (Heparins),recommended
miscellaneous other,enoxaparin sodium,miscellaneous other,Anticoagulants,Heparin anticoagulants,Anticoagulants (Heparins),recommended
miscellaneous other,enzalutamide,miscellaneous other,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
miscellaneous other,epoprostenol,miscellaneous other,Adjuvant / Supportive,Respiratory & hemodynamic support,Respiratory/Hemodynamic Support,not_addressed_trial_only
,estradiol,,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
,etesevimab,monoclonal antibodies,Immunotherapies (antibody based),Anti‑spike monoclonal antibodies,Immunotherapy (Anti-spike mAbs),not_recommended
monoclonal antibodies,etesevimab,monoclonal antibodies,Immunotherapies (antibody based),Anti‑spike monoclonal antibodies,Immunotherapy (Anti-spike mAbs),not_recommended
,ethanol,miscellaneous other,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
miscellaneous other,ethanol,miscellaneous other,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
miscellaneous other,exo 1,miscellaneous other,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
,famotidine,miscellaneous other,Adjuvant / Supportive,Vitamins & supplements,Vitamins & Supplements,not_addressed_trial_only
miscellaneous other,famotidine,miscellaneous other,Adjuvant / Supportive,Vitamins & supplements,Vitamins & Supplements,not_addressed_trial_only
others,famotidine,miscellaneous other,Adjuvant / Supportive,Vitamins & supplements,Vitamins & Supplements,not_addressed_trial_only
miscellaneous other,fampridine,miscellaneous other,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
antiviral broad spectrum,favipiravir,antiviral broad spectrum,Antivirals (direct acting),RdRp inhibitors,Antivirals (Direct-acting),not_addressed_trial_only
,favipiravir,antiviral broad spectrum,Antivirals (direct acting),RdRp inhibitors,Antivirals (Direct-acting),not_addressed_trial_only
others,febuxostat,others,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
,fenofibrate,others,Metabolic / cardiometabolic agents,Statins,Metabolic agents (Statins),not_addressed_trial_only
others,fenofibrate,others,Metabolic / cardiometabolic agents,Statins,Metabolic agents (Statins),not_addressed_trial_only
miscellaneous other,fenretinide,miscellaneous other,Antivirals (Broad spectrum / Other),Broad‑spectrum & host‑directed antivirals,Antivirals (Broad-spectrum/Other),not_addressed_trial_only
,fenretinide,miscellaneous other,Antivirals (Broad spectrum / Other),Broad‑spectrum & host‑directed antivirals,Antivirals (Broad-spectrum/Other),not_addressed_trial_only
immunosuppressive drugs,fingolimod,immunosuppressive drugs,Immunotherapies (other immunomodulators),Small‑molecule immunosuppressants / DMARDs,Immunotherapy (Small molecule),not_addressed_trial_only
miscellaneous other,fluvoxamine,miscellaneous other,Anti-depressants,SSRI / Sigma‑1 agonist,Anti-depressants,research_only
,fluvoxamine,miscellaneous other,Anti-depressants,SSRI / Sigma‑1 agonist,Anti-depressants,research_only
miscellaneous other,formoterol,miscellaneous other,Adjuvant / Supportive,Respiratory & hemodynamic support,Respiratory/Hemodynamic Support,not_addressed_trial_only
,formoterol,miscellaneous other,Adjuvant / Supportive,Respiratory & hemodynamic support,Respiratory/Hemodynamic Support,not_addressed_trial_only
miscellaneous other,furosemide,miscellaneous other,Adjuvant / Supportive,Respiratory & hemodynamic support,Respiratory/Hemodynamic Support,not_addressed_trial_only
,furosemide,miscellaneous other,Adjuvant / Supportive,Respiratory & hemodynamic support,Respiratory/Hemodynamic Support,not_addressed_trial_only
,glucocorticoids,,Immunotherapies (corticosteroids),Systemic corticosteroids,Corticosteroids (Systemic),recommended
,glutathione,,Adjuvant / Supportive,Vitamins & supplements,Vitamins & Supplements,not_addressed_trial_only
others,glycerol,others,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
kinase inhibitors,gp1681,kinase inhibitors,Immunotherapies (kinase inhibitor),Other TK / multi‑kinase inhibitors,Immunotherapy (Other kinases),not_addressed_trial_only
miscellaneous other,heparin,miscellaneous other,Anticoagulants,Heparin anticoagulants,Anticoagulants (Heparins),recommended
,heparin,miscellaneous other,Anticoagulants,Heparin anticoagulants,Anticoagulants (Heparins),recommended
others,heparin,miscellaneous other,Anticoagulants,Heparin anticoagulants,Anticoagulants (Heparins),recommended
,hepatocyte growth factor mimetic,,Immunotherapies (antibody based),Anti‑spike monoclonal antibodies,Immunotherapy (Anti-spike mAbs),not_addressed_trial_only
,hesperidin,nonspecific anti-inflammatory and immunosuppressive drugs,Adjuvant / Supportive,Vitamins & supplements,Vitamins & Supplements,not_addressed_trial_only
nonspecific anti-inflammatory and immunosuppressive drugs,hesperidin,nonspecific anti-inflammatory and immunosuppressive drugs,Adjuvant / Supportive,Vitamins & supplements,Vitamins & Supplements,not_addressed_trial_only
monoclonal antibodies,hfb30132a,monoclonal antibodies,Immunotherapies (antibody based),Anti‑spike monoclonal antibodies,Immunotherapy (Anti-spike mAbs),not_addressed_trial_only
,hfb30132a,monoclonal antibodies,Immunotherapies (antibody based),Anti‑spike monoclonal antibodies,Immunotherapy (Anti-spike mAbs),not_addressed_trial_only
nonspecific anti-inflammatory and immunosuppressive drugs,homeostec,nonspecific anti-inflammatory and immunosuppressive drugs,Adjuvant / Supportive,Vitamins & supplements,Vitamins & Supplements,not_addressed_trial_only
miscellaneous other,human c1-esterase inhibitor,miscellaneous other,Immunotherapies (other immunomodulators),Innate immune modulators and others,Immunotherapy (Innate/Other),not_addressed_trial_only
,human c1-esterase inhibitor,miscellaneous other,Immunotherapies (other immunomodulators),Innate immune modulators and others,Immunotherapy (Innate/Other),not_addressed_trial_only
nonspecific anti-inflammatory and immunosuppressive drugs,hydrocortisone,nonspecific anti-inflammatory and immunosuppressive drugs,Immunotherapies (corticosteroids),Systemic corticosteroids,Corticosteroids (Systemic),recommended
,hydrocortisone,nonspecific anti-inflammatory and immunosuppressive drugs,Immunotherapies (corticosteroids),Systemic corticosteroids,Corticosteroids (Systemic),recommended
miscellaneous other,hydrogen peroxide,miscellaneous other,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
,hydrogen peroxide,miscellaneous other,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
antimalarial,hydroxychloroquine,antimalarial,Antimalarials,4‑aminoquinolines and related antimalarials,Antimalarials,not_recommended
,hydroxychloroquine,antimalarial,Antimalarials,4‑aminoquinolines and related antimalarials,Antimalarials,not_recommended
kinase inhibitors,ibrutinib,kinase inhibitors,Immunotherapies (kinase inhibitor),BTK inhibitors,Immunotherapy (BTK inhibitors),not_addressed_trial_only
nonspecific anti-inflammatory and immunosuppressive drugs,ibudilast,nonspecific anti-inflammatory and immunosuppressive drugs,Immunotherapies (other immunomodulators),Small‑molecule immunosuppressants / DMARDs,Immunotherapy (Small molecule),not_addressed_trial_only
,ibudilast,nonspecific anti-inflammatory and immunosuppressive drugs,Immunotherapies (other immunomodulators),Small‑molecule immunosuppressants / DMARDs,Immunotherapy (Small molecule),not_addressed_trial_only
miscellaneous other,ibuprofen,miscellaneous other,Anti‑inflammatories (NSAIDs),NSAIDs,Anti-inflammatories (NSAIDs),not_addressed_trial_only
,ibuprofen,miscellaneous other,Anti‑inflammatories (NSAIDs),NSAIDs,Anti-inflammatories (NSAIDs),not_addressed_trial_only
others,icatibant,others,Immunotherapies (other immunomodulators),Innate immune modulators and others,Immunotherapy (Innate/Other),not_addressed_trial_only
,icatibant,others,Immunotherapies (other immunomodulators),Innate immune modulators and others,Immunotherapy (Innate/Other),not_addressed_trial_only
miscellaneous other,icosapent ethyl,miscellaneous other,Metabolic / cardiometabolic agents,Statins,Metabolic agents (Statins),not_addressed_trial_only
miscellaneous other,ifenprodil,miscellaneous other,Immunotherapies (other immunomodulators),Small‑molecule immunosuppressants / DMARDs,Immunotherapy (Small molecule),not_addressed_trial_only
others,iloprost,others,Adjuvant / Supportive,Respiratory & hemodynamic support,Respiratory/Hemodynamic Support,not_addressed_trial_only
kinase inhibitors,imatinib,kinase inhibitors,Immunotherapies (kinase inhibitor),Other TK / multi‑kinase inhibitors,Immunotherapy (Other kinases),not_addressed_trial_only
,imatinib,kinase inhibitors,Immunotherapies (kinase inhibitor),Other TK / multi‑kinase inhibitors,Immunotherapy (Other kinases),not_addressed_trial_only
,imdevimab,monoclonal antibodies,Immunotherapies (antibody based),Anti‑spike monoclonal antibodies,Immunotherapy (Anti-spike mAbs),not_recommended
monoclonal antibodies,imdevimab,monoclonal antibodies,Immunotherapies (antibody based),Anti‑spike monoclonal antibodies,Immunotherapy (Anti-spike mAbs),not_recommended
antiviral not specified,immunoglobulin,antiviral not specified,Immunotherapies (antibody based),Convalescent plasma,Immunotherapy (Conv. Plasma),not_addressed_trial_only
,immunoglobulin,antiviral not specified,Immunotherapies (antibody based),Convalescent plasma,Immunotherapy (Conv. Plasma),not_addressed_trial_only
miscellaneous other,imu-838,miscellaneous other,Immunotherapies (kinase inhibitor),JAK inhibitors,Immunotherapy (JAK inhibitors),not_addressed_trial_only
miscellaneous other,indomethacin,miscellaneous other,Anti‑inflammatories (NSAIDs),NSAIDs,Anti-inflammatories (NSAIDs),not_addressed_trial_only
monoclonal antibodies,infliximab,monoclonal antibodies,Immunotherapies (other immunomodulators),Biologic cytokine / receptor blockers,Immunotherapy (Other biologics),not_addressed_trial_only
,infliximab,monoclonal antibodies,Immunotherapies (other immunomodulators),Biologic cytokine / receptor blockers,Immunotherapy (Other biologics),not_addressed_trial_only
miscellaneous other,inhaled gases,miscellaneous other,Adjuvant / Supportive,Respiratory & hemodynamic support,Respiratory/Hemodynamic Support,not_addressed_trial_only
,inhaled gases,miscellaneous other,Adjuvant / Supportive,Respiratory & hemodynamic support,Respiratory/Hemodynamic Support,not_addressed_trial_only
miscellaneous other,inmuno-1,miscellaneous other,Immunotherapies (other immunomodulators),Innate immune modulators and others,Immunotherapy (Innate/Other),not_addressed_trial_only
miscellaneous other,inmuno-2,miscellaneous other,Immunotherapies (other immunomodulators),Innate immune modulators and others,Immunotherapy (Innate/Other),not_addressed_trial_only
miscellaneous other,insulin,miscellaneous other,Metabolic / cardiometabolic agents,Biguanides,Metabolic agents (Insulin-sensitizing),not_addressed_trial_only
,insulin,miscellaneous other,Metabolic / cardiometabolic agents,Biguanides,Metabolic agents (Insulin-sensitizing),not_addressed_trial_only
others,interferon beta -1a,others,Immunotherapies (other immunomodulators),Innate immune modulators and others,Immunotherapy (Innate/Other),not_addressed_trial_only
,interferon beta -1a,others,Immunotherapies (other immunomodulators),Innate immune modulators and others,Immunotherapy (Innate/Other),not_addressed_trial_only
antiviral not specified,interferons,antiviral not specified,Immunotherapies (other immunomodulators),Innate immune modulators and others,Immunotherapy (Innate/Other),not_addressed_trial_only
,interferons,antiviral not specified,Immunotherapies (other immunomodulators),Innate immune modulators and others,Immunotherapy (Innate/Other),not_addressed_trial_only
antiviral not specified,interleukin-2,antiviral not specified,Immunotherapies (other immunomodulators),Innate immune modulators and others,Immunotherapy (Innate/Other),not_addressed_trial_only
antiviral not specified,interleukin-7,antiviral not specified,Immunotherapies (other immunomodulators),Innate immune modulators and others,Immunotherapy (Innate/Other),not_addressed_trial_only
miscellaneous other,iodine,miscellaneous other,Adjuvant / Supportive,Vitamins & supplements,Vitamins & Supplements,not_addressed_trial_only
,iodine,miscellaneous other,Adjuvant / Supportive,Vitamins & supplements,Vitamins & Supplements,not_addressed_trial_only
miscellaneous other,iota-carrageenan,miscellaneous other,Antivirals (Broad spectrum / Other),Broad‑spectrum & host‑directed antivirals,Antivirals (Broad-spectrum/Other),not_addressed_trial_only
,iota-carrageenan,miscellaneous other,Antivirals (Broad spectrum / Other),Broad‑spectrum & host‑directed antivirals,Antivirals (Broad-spectrum/Other),not_addressed_trial_only
,iron,,Adjuvant / Supportive,Vitamins & supplements,Vitamins & Supplements,not_addressed_trial_only
antiviral broad spectrum,isoprinosine,antiviral broad spectrum,Antivirals (Broad spectrum / Other),Broad‑spectrum & host‑directed antivirals,Antivirals (Broad-spectrum/Other),not_addressed_trial_only
,isoquercetin,miscellaneous other,Adjuvant / Supportive,Vitamins & supplements,Vitamins & Supplements,not_addressed_trial_only
miscellaneous other,isoquercetin,miscellaneous other,Adjuvant / Supportive,Vitamins & supplements,Vitamins & Supplements,not_addressed_trial_only
,isotretinoin,miscellaneous other,Antivirals (Broad spectrum / Other),Broad‑spectrum & host‑directed antivirals,Antivirals (Broad-spectrum/Other),not_addressed_trial_only
miscellaneous other,isotretinoin,miscellaneous other,Antivirals (Broad spectrum / Other),Broad‑spectrum & host‑directed antivirals,Antivirals (Broad-spectrum/Other),not_addressed_trial_only
monoclonal antibodies,itolizumab,monoclonal antibodies,Immunotherapies (other immunomodulators),Biologic cytokine / receptor blockers,Immunotherapy (Other biologics),not_addressed_trial_only
others,itraconazole,others,Antivirals (not specified),Macrolides / repurposed anti‑infectives,Antivirals (Broad-spectrum/Other),not_addressed_trial_only
miscellaneous other,itraconazole,others,Antivirals (not specified),Macrolides / repurposed anti‑infectives,Antivirals (Broad-spectrum/Other),not_addressed_trial_only
,itraconazole,others,Antivirals (not specified),Macrolides / repurposed anti‑infectives,Antivirals (Broad-spectrum/Other),not_addressed_trial_only
antibiotics and antiparasitics,ivermectin,antibiotics and antiparasitics,Antiparasitics/Antibiotics,Macrocyclic lactones,Antiparasitics/Antibiotics,not_recommended
,ivermectin,antibiotics and antiparasitics,Antiparasitics/Antibiotics,Macrocyclic lactones,Antiparasitics/Antibiotics,not_recommended
monoclonal antibodies,ixekizumab,monoclonal antibodies,Immunotherapies (other immunomodulators),Biologic cytokine / receptor blockers,Immunotherapy (Other biologics),not_addressed_trial_only
,jakotinib hydrochloride,,Immunotherapies (kinase inhibitor),JAK inhibitors,Immunotherapy (JAK inhibitors),not_addressed_trial_only
monoclonal antibodies,js016,monoclonal antibodies,Immunotherapies (antibody based),Anti‑spike monoclonal antibodies,Immunotherapy (Anti-spike mAbs),not_addressed_trial_only
others,kand567,others,Immunotherapies (other immunomodulators),Innate immune modulators and others,Immunotherapy (Innate/Other),not_addressed_trial_only
,kand567,others,Immunotherapies (other immunomodulators),Innate immune modulators and others,Immunotherapy (Innate/Other),not_addressed_trial_only
miscellaneous other,kb109,miscellaneous other,Immunotherapies (other immunomodulators),Innate immune modulators and others,Immunotherapy (Innate/Other),not_addressed_trial_only
miscellaneous other,ketone bodies,miscellaneous other,Adjuvant / Supportive,Vitamins & supplements,Vitamins & Supplements,not_addressed_trial_only
monoclonal antibodies,kin-1901,monoclonal antibodies,Immunotherapies (kinase inhibitor),Other TK / multi‑kinase inhibitors,Immunotherapy (Other kinases),not_addressed_trial_only
miscellaneous other,lactobacillus k8,miscellaneous other,Adjuvant / Supportive,Vitamins & supplements,Vitamins & Supplements,not_addressed_trial_only
others,lactoferrin,others,Adjuvant / Supportive,Vitamins & supplements,Vitamins & Supplements,not_addressed_trial_only
miscellaneous other,lactoferrin,others,Adjuvant / Supportive,Vitamins & supplements,Vitamins & Supplements,not_addressed_trial_only
,lactoferrin,others,Adjuvant / Supportive,Vitamins & supplements,Vitamins & Supplements,not_addressed_trial_only
monoclonal antibodies,lanadelumab,monoclonal antibodies,Immunotherapies (other immunomodulators),Innate immune modulators and others,Immunotherapy (Innate/Other),not_addressed_trial_only
other antiviral,ledipasvir,other antiviral,Antivirals (Broad spectrum / Other),Uncategorized/Other,Antivirals (Broad-spectrum/Other),not_addressed_trial_only
immunosuppressive drugs,leflunoide,immunosuppressive drugs,Immunotherapies (other immunomodulators),Small‑molecule immunosuppressants / DMARDs,Immunotherapy (Small molecule),not_addressed_trial_only
,leflunoide,immunosuppressive drugs,Immunotherapies (other immunomodulators),Small‑molecule immunosuppressants / DMARDs,Immunotherapy (Small molecule),not_addressed_trial_only
miscellaneous other,lenalidomide,miscellaneous other,Immunotherapies (other immunomodulators),Small‑molecule immunosuppressants / DMARDs,Immunotherapy (Small molecule),not_addressed_trial_only
monoclonal antibodies,lenzilumab,monoclonal antibodies,Immunotherapies (other immunomodulators),Biologic cytokine / receptor blockers,Immunotherapy (Other biologics),not_addressed_trial_only
others,leukocim,others,Immunotherapies (other immunomodulators),Innate immune modulators and others,Immunotherapy (Innate/Other),not_addressed_trial_only
antibiotics and antiparasitics,levamisole,antibiotics and antiparasitics,Antiparasitics/Antibiotics,Macrocyclic lactones,Antiparasitics/Antibiotics,not_addressed_trial_only
,levamisole,antibiotics and antiparasitics,Antiparasitics/Antibiotics,Macrocyclic lactones,Antiparasitics/Antibiotics,not_addressed_trial_only
monoclonal antibodies,levilimab,monoclonal antibodies,Immunotherapies (antibody based),IL‑6 receptor blockers,Immunotherapy (IL-6 blockers),not_addressed_trial_only
,levofloxacin,antibiotics and antiparasitics,Antiparasitics/Antibiotics,Macrolides / repurposed anti‑infectives,Antiparasitics/Antibiotics,not_addressed_trial_only
antibiotics and antiparasitics,levofloxacin,antibiotics and antiparasitics,Antiparasitics/Antibiotics,Macrolides / repurposed anti‑infectives,Antiparasitics/Antibiotics,not_addressed_trial_only
,linagliptin,miscellaneous other,Metabolic / cardiometabolic agents,Biguanides,Metabolic agents (Insulin-sensitizing),not_addressed_trial_only
miscellaneous other,linagliptin,miscellaneous other,Metabolic / cardiometabolic agents,Biguanides,Metabolic agents (Insulin-sensitizing),not_addressed_trial_only
,liothyronine,,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
miscellaneous other,lithium,miscellaneous other,Anti-depressants,SSRI / Sigma‑1 agonist,Anti-depressants,not_addressed_trial_only
,lithium,miscellaneous other,Anti-depressants,SSRI / Sigma‑1 agonist,Anti-depressants,not_addressed_trial_only
antiviral antiretrovirals,lopinavir,antiviral antiretrovirals,Antivirals (Antiretrovirals),HIV antiretrovirals,Antivirals (Antiretrovirals),not_recommended
,lopinavir,antiviral antiretrovirals,Antivirals (Antiretrovirals),HIV antiretrovirals,Antivirals (Antiretrovirals),not_recommended
miscellaneous other,losartan,miscellaneous other,Metabolic / cardiometabolic agents,Metabolic / cardiometabolic agents,Metabolic agents (Other),not_addressed_trial_only
,losartan,miscellaneous other,Metabolic / cardiometabolic agents,Metabolic / cardiometabolic agents,Metabolic agents (Other),not_addressed_trial_only
,losmapimod,,Immunotherapies (kinase inhibitor),Other TK / multi‑kinase inhibitors,Immunotherapy (Other kinases),not_addressed_trial_only
monoclonal antibodies,ly3819253,monoclonal antibodies,Uncategorized/Other,Uncategorized/Other,Other/Uncategorized,not_addressed_trial_only
miscellaneous other,ly3819253,monoclonal antibodies,Uncategorized/Other,Uncategorized/Other,Other/Uncategorized,not_addressed_trial_only
,ly3819253,monoclonal antibodies,Uncategorized/Other,Uncategorized/Other,Other/Uncategorized,not_addressed_trial_only
miscellaneous other,ly3832479,miscellaneous other,Uncategorized/Other,Uncategorized/Other,Other/Uncategorized,not_addressed_trial_only
,ly3832479,miscellaneous other,Uncategorized/Other,Uncategorized/Other,Other/Uncategorized,not_addressed_trial_only
immunosuppressive drugs,m5049,immunosuppressive drugs,Immunotherapies (other immunomodulators),Innate immune modulators and others,Immunotherapy (Innate/Other),not_addressed_trial_only
,magnesium glycinate,,Adjuvant / Supportive,Vitamins & supplements,Vitamins & Supplements,not_addressed_trial_only
miscellaneous other,magnesium sulfate,miscellaneous other,Adjuvant / Supportive,Vitamins & supplements,Vitamins & Supplements,not_addressed_trial_only
,magnesium sulfate,miscellaneous other,Adjuvant / Supportive,Vitamins & supplements,Vitamins & Supplements,not_addressed_trial_only
,maraviroc,,Antivirals (Antiretrovirals),HIV antiretrovirals,Antivirals (Antiretrovirals),not_addressed_trial_only
miscellaneous other,mas825,miscellaneous other,Immunotherapies (other immunomodulators),Biologic cytokine / receptor blockers,Immunotherapy (Other biologics),not_addressed_trial_only
,masitinib mesylate,,Immunotherapies (kinase inhibitor),Other TK / multi‑kinase inhibitors,Immunotherapy (Other kinases),not_addressed_trial_only
monoclonal antibodies,mavrilimumab,monoclonal antibodies,Immunotherapies (other immunomodulators),Biologic cytokine / receptor blockers,Immunotherapy (Other biologics),not_addressed_trial_only
antimalarial,mefloquine,antimalarial,Antimalarials,4‑aminoquinolines and related antimalarials,Antimalarials,not_addressed_trial_only
,melatonin,miscellaneous other,Adjuvant / Supportive,Vitamins & supplements,Vitamins & Supplements,not_addressed_trial_only
miscellaneous other,melatonin,miscellaneous other,Adjuvant / Supportive,Vitamins & supplements,Vitamins & Supplements,not_addressed_trial_only
others,melatonin,miscellaneous other,Adjuvant / Supportive,Vitamins & supplements,Vitamins & Supplements,not_addressed_trial_only
antibiotics and antiparasitics,meropenem,antibiotics and antiparasitics,Antiparasitics/Antibiotics,Macrolides / repurposed anti‑infectives,Antiparasitics/Antibiotics,not_addressed_trial_only
nonspecific anti-inflammatory and immunosuppressive drugs,metenkefalin,nonspecific anti-inflammatory and immunosuppressive drugs,Immunotherapies (other immunomodulators),Innate immune modulators and others,Immunotherapy (Innate/Other),not_addressed_trial_only
miscellaneous other,metformin,miscellaneous other,Metabolic / cardiometabolic agents,Biguanides,Metabolic agents (Insulin-sensitizing),not_recommended
,metformin,miscellaneous other,Metabolic / cardiometabolic agents,Biguanides,Metabolic agents (Insulin-sensitizing),not_recommended
,methotrexate,,Immunotherapies (other immunomodulators),Small‑molecule immunosuppressants / DMARDs,Immunotherapy (Small molecule),not_addressed_trial_only
miscellaneous other,methylene blue,miscellaneous other,Antivirals (Broad spectrum / Other),Broad‑spectrum & host‑directed antivirals,Antivirals (Broad-spectrum/Other),not_addressed_trial_only
,methylene blue,miscellaneous other,Antivirals (Broad spectrum / Other),Broad‑spectrum & host‑directed antivirals,Antivirals (Broad-spectrum/Other),not_addressed_trial_only
nonspecific anti-inflammatory and immunosuppressive drugs,methylprednisolone,nonspecific anti-inflammatory and immunosuppressive drugs,Immunotherapies (corticosteroids),Systemic corticosteroids,Corticosteroids (Systemic),recommended
,methylprednisolone,nonspecific anti-inflammatory and immunosuppressive drugs,Immunotherapies (corticosteroids),Systemic corticosteroids,Corticosteroids (Systemic),recommended
antibiotics and antiparasitics,metronidazole,antibiotics and antiparasitics,Antiparasitics/Antibiotics,Macrolides / repurposed anti‑infectives,Antiparasitics/Antibiotics,not_addressed_trial_only
